ID,LMSTAR,ELLIP,INTR_ELLIP,LAMBDAR_RE,LAMBDAR_RE_EO
7987.0,10.196043578513525,0.255154,0.0389373,0.289624,0.312673
6991.0,9.67915400636997,0.16712,0.287729,0.132328,0.166029
7770.0,11.211989013083837,0.314334,0.308566,0.470256,0.54797
6779.0,10.642548171409032,0.48018,0.565587,0.706033,0.73715
784.0,10.45421275270786,0.274049,0.359366,0.491549,0.433875
7653.0,9.981161681540868,0.173393,0.0473594,0.13182,0.142364
10640.0,10.675293532737157,0.199431,0.521712,0.388903,0.507487
7999.0,9.847516623862646,0.35647,0.235011,0.227181,0.173532
8167.0,9.674151030906103,0.324351,0.409934,0.356266,0.457049
2115.0,9.966588584311864,0.269719,0.212386,0.36254,0.324088
6209.0,10.121196357139013,0.34837,0.171833,0.374215,0.470577
8334.0,10.513614264853857,0.361718,0.636384,0.652854,0.774205
3154.0,10.165094939597509,0.217226,0.386171,0.0998688,0.408026
3468.0,9.727661696799657,0.487101,0.57311,0.558256,0.733064
9851.0,10.516345588096044,0.147738,0.345471,0.156049,0.280597
5071.0,10.313321677573583,0.498109,0.40373,0.619246,0.637924
860.0,9.779094306357763,0.0481869,0.179145,0.170122,0.182719
11785.0,9.967715827353857,0.148935,0.140339,0.104786,0.112195
10625.0,10.071835128196142,0.241977,0.254857,0.122391,0.126291
9234.0,9.923912612327001,0.151184,0.280682,0.31016,0.403299
11610.0,10.470702735312841,0.178902,0.512046,0.335031,0.485552
8632.0,10.560288993247411,0.324176,0.426,0.513446,0.581601
10809.0,10.106663314231298,0.181827,0.340979,0.480293,0.533198
11078.0,10.697070685752294,0.547934,0.482747,0.630625,0.660696
1259.0,9.931529609092138,0.222677,0.229899,0.386065,0.524083
1900.0,9.700373259910009,0.380557,0.364167,0.148562,0.138985
8901.0,10.269541350730321,0.112028,0.255775,0.14956,0.407262
10663.0,10.554909316428564,0.240597,0.633812,0.217949,0.654063
320.0,9.845025626548193,0.300734,0.615758,0.57902,0.683326
7846.0,10.967831221946142,0.0751488,0.330786,0.413057,0.515189
8338.0,10.55457076204624,0.389073,0.472291,0.218284,0.338606
5949.0,10.061167327292821,0.527963,0.477346,0.497506,0.484827
9885.0,9.925195304282568,0.155959,0.379362,0.312596,0.451222
6143.0,10.50740107668247,0.524559,0.589589,0.574718,0.589832
10110.0,10.115952102073095,0.621602,0.624907,0.706769,0.723884
11725.0,10.317464438804052,0.466511,0.41675,0.451284,0.521607
273.0,11.14001711977329,0.374026,0.23727,0.180991,0.418444
6208.0,10.090447036155126,0.279912,0.329726,0.54036,0.509302
9184.0,10.881141272910497,0.380785,0.314645,0.0402313,0.0456363
10081.0,10.51143225801792,0.15265,0.299151,0.2087,0.251994
6373.0,9.774969664939306,0.0836849,0.26897,0.116827,0.362844
8277.0,9.756404487021825,0.138926,0.39269,0.391463,0.529151
8050.0,9.801833716758154,0.13695,0.215011,0.0848954,0.155625
7072.0,11.063724128135107,0.175891,0.307771,0.356002,0.432871
5366.0,10.655052749045751,0.191757,0.416378,0.382954,0.500218
1193.0,9.785711852439306,0.225999,0.291864,0.198445,0.232612
6066.0,11.157342521079443,0.294103,0.109721,0.0552752,0.0891222
3466.0,9.708198157676122,0.291716,0.536234,0.439536,0.570149
1286.0,10.06834849489536,0.502257,0.345155,0.517413,0.516961
9792.0,10.51899775636997,0.229132,0.527353,0.400143,0.514305
694.0,11.097750274070165,0.514367,0.447305,0.807102,0.799799
284.0,10.451631156333349,0.185769,0.331089,0.139145,0.44128
10348.0,9.880477515586279,0.141357,0.247962,0.275277,0.425852
7033.0,11.845694152243993,0.169598,0.100174,0.0384077,0.0370762
5622.0,9.80359133852329,0.104461,0.365041,0.157146,0.495421
6263.0,10.260181037314794,0.0801223,0.356032,0.304219,0.405596
9258.0,10.960277167685888,0.441683,0.431513,0.552738,0.55635
2353.0,10.478991118796728,0.432173,0.488691,0.426593,0.473833
972.0,9.936555472739599,0.397329,0.289615,0.541046,0.530561
